Date,Revenue
1/1/2010,356218
2/1/2010,620718
3/1/2010,589166
4/1/2010,-240031
5/1/2010,130388
6/1/2010,193586
7/1/2010,688631
8/1/2010,111248
9/1/2010,-184659
10/1/2010,72216
11/1/2010,565618
12/1/2010,-522527
1/1/2011,695279
2/1/2011,562650
3/1/2011,1090346
4/1/2011,212926
5/1/2011,605995
6/1/2011,289572
7/1/2011,1075515
8/1/2011,1155733
9/1/2011,1052450
10/1/2011,-1038468
11/1/2011,460168
12/1/2011,887780
1/1/2012,83207
2/1/2012,-475218
3/1/2012,974636
4/1/2012,686689
5/1/2012,960703
6/1/2012,724900
7/1/2012,948526
8/1/2012,606934
9/1/2012,508985
10/1/2012,419762
11/1/2012,1144668
12/1/2012,475586
1/1/2013,580529
2/1/2013,694061
3/1/2013,758634
4/1/2013,164735
5/1/2013,243049
6/1/2013,331358
7/1/2013,138424
8/1/2013,133701
9/1/2013,-612318
10/1/2013,685672
11/1/2013,391464
12/1/2013,129182
1/1/2014,1181050
2/1/2014,546567
3/1/2014,912981
4/1/2014,837501
5/1/2014,148788
6/1/2014,850183
7/1/2014,863920
8/1/2014,544228
9/1/2014,-392839
10/1/2014,546736
11/1/2014,1008029
12/1/2014,467739
1/1/2015,918524
2/1/2015,361431
3/1/2015,53177
4/1/2015,-275381
5/1/2015,625895
6/1/2015,935976
7/1/2015,722008
8/1/2015,-174447
9/1/2015,982934
10/1/2015,776149
11/1/2015,-220334
12/1/2015,-873788
1/1/2016,487161
2/1/2016,1160380
3/1/2016,-772756
4/1/2016,1174291
5/1/2016,823123
6/1/2016,145981
7/1/2016,856523
8/1/2016,925860
9/1/2016,354849
10/1/2016,508894
11/1/2016,944397
12/1/2016,512295
1/1/2017,1102431
2/1/2017,402791
