station,date,prcp,tobs,name,latitude,longitude,elevation,ID
USC00519397,2010-01-01,0.08,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,1
USC00519397,2010-01-02,0.0,63,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2
USC00519397,2010-01-03,0.0,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,3
USC00519397,2010-01-04,0.0,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,4
USC00519397,2010-01-07,0.06,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,5
USC00519397,2010-01-08,0.0,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,6
USC00519397,2010-01-09,0.0,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,7
USC00519397,2010-01-10,0.0,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,8
USC00519397,2010-01-11,0.01,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,9
USC00519397,2010-01-12,0.0,61,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,10
USC00519397,2010-01-14,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,11
USC00519397,2010-01-15,0.0,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,12
USC00519397,2010-01-16,0.0,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,13
USC00519397,2010-01-17,0.0,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,14
USC00519397,2010-01-18,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,15
USC00519397,2010-01-19,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,16
USC00519397,2010-01-20,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,17
USC00519397,2010-01-21,0.0,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,18
USC00519397,2010-01-22,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,19
USC00519397,2010-01-23,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,20
USC00519397,2010-01-24,0.01,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,21
USC00519397,2010-01-25,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,22
USC00519397,2010-01-26,0.04,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,23
USC00519397,2010-01-27,0.12,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,24
USC00519397,2010-01-28,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,25
USC00519397,2010-01-31,0.03,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,26
USC00519397,2010-02-01,0.01,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,27
USC00519397,2010-02-04,0.01,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,28
USC00519397,2010-02-05,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,29
USC00519397,2010-02-06,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,30
